"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",622.93,625.1,622.39,623.51,"45,016,800","9,878,730,000"
"436","Sep 11, 2016",623.42,628.82,600.51,606.72,"73,610,800","9,887,780,000"
"435","Sep 12, 2016",607,608.46,605.41,608.24,"72,812,300","9,628,560,000"
"434","Sep 13, 2016",608.02,611.19,606.92,609.24,"86,920,600","9,645,930,000"
"433","Sep 14, 2016",608.84,611.95,608.41,610.68,"47,877,700","9,660,080,000"
"432","Sep 15, 2016",610.59,611.09,607.15,607.15,"59,464,600","9,688,940,000"
"431","Sep 16, 2016",607.25,609.26,606.74,606.97,"64,963,400","9,637,020,000"
"430","Sep 17, 2016",607.22,607.86,605.19,605.98,"37,140,300","9,637,600,000"
"429","Sep 18, 2016",606.28,610.16,605.86,609.87,"48,679,400","9,623,950,000"
"428","Sep 19, 2016",609.87,610.93,608.27,609.23,"54,796,400","9,681,960,000"
"427","Sep 20, 2016",609.25,609.52,607.94,608.31,"72,710,900","9,673,140,000"
"426","Sep 21, 2016",603.59,603.59,595.88,597.15,"82,776,200","9,584,260,000"
"425","Sep 22, 2016",597.28,598.49,596.21,596.3,"67,085,300","9,485,280,000"
"424","Sep 23, 2016",596.2,603.21,595.79,602.84,"51,067,000","9,469,130,000"
"423","Sep 24, 2016",602.96,604.58,602.04,602.63,"35,359,500","9,577,520,000"
"422","Sep 25, 2016",602.75,603.38,599.71,600.83,"33,977,800","9,575,360,000"
"421","Sep 26, 2016",600.81,608.14,600.35,608.04,"59,153,800","9,545,830,000"
"420","Sep 27, 2016",608.02,608.25,604.11,606.17,"49,422,400","9,661,590,000"
"419","Sep 28, 2016",606.24,606.59,604.61,604.73,"48,722,600","9,634,530,000"
"418","Sep 29, 2016",605.02,606.82,604.85,605.69,"55,658,600","9,616,160,000"
"417","Sep 30, 2016",605.72,609.74,604.14,609.74,"56,122,400","9,628,250,000"
"416","Oct 01, 2016",609.93,615.24,609.93,613.98,"56,357,000","9,696,280,000"
"415","Oct 02, 2016",613.95,614,609.68,610.89,"39,249,800","9,761,330,000"
"414","Oct 03, 2016",610.97,612.57,610.46,612.13,"46,798,300","9,714,980,000"
"413","Oct 04, 2016",612.05,612.05,609.48,610.2,"49,801,600","9,733,330,000"
"412","Oct 05, 2016",610.22,613.81,609.62,612.51,"68,077,500","9,705,320,000"
"411","Oct 06, 2016",612.47,613.82,611.47,613.02,"56,812,100","9,742,370,000"
"410","Oct 07, 2016",612.61,617.91,611.82,617.12,"64,071,400","9,745,740,000"
"409","Oct 08, 2016",617.34,619.85,617.34,619.11,"42,345,900","9,822,100,000"
"408","Oct 09, 2016",619.17,619.2,616.61,616.75,"39,243,400","9,852,480,000"
"407","Oct 10, 2016",616.82,621.32,616.2,618.99,"67,481,100","9,816,270,000"
"406","Oct 11, 2016",619.24,642.08,618.5,641.07,"103,590,000","9,855,650,000"
"405","Oct 12, 2016",640.87,641.34,635.97,636.19,"92,370,200","10,201,000,000"
"404","Oct 13, 2016",636.03,638.83,635.03,636.79,"61,620,700","10,125,100,000"
"403","Oct 14, 2016",637.01,641.28,637.01,640.38,"58,144,600","10,141,600,000"
"402","Oct 15, 2016",640.31,642.1,637.39,638.65,"39,035,400","10,195,200,000"
"401","Oct 16, 2016",639.08,642.9,638.9,641.63,"40,298,100","10,176,800,000"
"400","Oct 17, 2016",641.82,642.33,638.66,639.19,"58,063,600","10,221,300,000"
"399","Oct 18, 2016",639.41,640.74,636,637.96,"65,546,700","10,184,000,000"
"398","Oct 19, 2016",638.13,638.87,628.01,630.52,"69,381,700","10,164,800,000"
