"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",2.66,2.67,2.2,2.48,"17,982","3,420,130"
"436","Sep 11, 2016",2.48,2.48,2.06,2.26,"15,454","3,185,450"
"435","Sep 12, 2016",2.26,2.55,2.22,2.34,"9,061","2,904,500"
"434","Sep 13, 2016",2.34,2.51,2.27,2.42,"7,025","3,006,620"
"433","Sep 14, 2016",2.43,2.52,2.35,2.47,"6,739","3,120,180"
"432","Sep 15, 2016",2.47,2.66,2.35,2.58,"13,941","3,182,910"
"431","Sep 16, 2016",2.58,2.58,2.41,2.52,"3,205","3,313,150"
"430","Sep 17, 2016",2.49,2.7,2.45,2.67,"17,469","3,203,760"
"429","Sep 18, 2016",2.67,2.67,2.49,2.55,"29,464","3,430,660"
"428","Sep 19, 2016",2.55,2.67,2.49,2.54,"11,340","3,284,450"
"427","Sep 20, 2016",2.56,2.65,2.54,2.55,"7,699","3,292,330"
"426","Sep 21, 2016",2.55,2.6,2.49,2.5,"9,529","3,284,490"
"425","Sep 22, 2016",2.5,2.53,2.48,2.48,"4,434","3,218,400"
"424","Sep 23, 2016",2.48,2.53,2.47,2.52,"8,649","3,189,480"
"423","Sep 24, 2016",2.52,2.55,2.51,2.55,"7,919","3,247,450"
"422","Sep 25, 2016",2.55,2.64,2.5,2.53,"10,696","3,280,090"
"421","Sep 26, 2016",2.53,2.58,2.5,2.58,"8,291","3,256,450"
"420","Sep 27, 2016",2.58,2.63,2.52,2.54,"12,608","3,324,490"
"419","Sep 28, 2016",2.54,2.54,2.35,2.44,"41,384","3,268,520"
"418","Sep 29, 2016",2.43,2.6,2.37,2.56,"10,401","3,138,120"
"417","Sep 30, 2016",2.56,2.62,2.5,2.61,"4,251","3,303,390"
"416","Oct 01, 2016",2.61,2.67,2.53,2.53,"7,216","3,364,600"
"415","Oct 02, 2016",2.53,2.61,2.51,2.57,"5,831","3,256,650"
"414","Oct 03, 2016",2.57,2.72,2.55,2.62,"10,353","3,312,500"
"413","Oct 04, 2016",2.63,2.71,2.46,2.47,"20,506","3,393,290"
"412","Oct 05, 2016",2.47,2.6,2.47,2.53,"3,095","3,189,650"
"411","Oct 06, 2016",2.53,2.61,2.49,2.57,"8,201","3,256,980"
"410","Oct 07, 2016",2.57,2.65,2.49,2.65,"5,583","3,312,020"
"409","Oct 08, 2016",2.65,2.66,2.55,2.6,"2,922","3,418,990"
"408","Oct 09, 2016",2.6,2.66,2.57,2.66,"5,902","3,354,410"
"407","Oct 10, 2016",2.66,2.67,2.56,2.63,"6,509","3,424,620"
"406","Oct 11, 2016",2.63,2.69,2.54,2.61,"17,039","3,391,140"
"405","Oct 12, 2016",2.61,2.72,2.55,2.65,"7,793","3,358,840"
"404","Oct 13, 2016",2.65,2.74,2.65,2.69,"6,264","3,416,750"
"403","Oct 14, 2016",2.69,2.78,2.66,2.76,"2,963","3,464,140"
"402","Oct 15, 2016",2.76,2.9,2.7,2.79,"17,584","3,551,110"
"401","Oct 16, 2016",2.79,3.08,2.76,3.02,"26,764","3,591,630"
"400","Oct 17, 2016",3.02,3.03,2.88,3,"4,829","3,897,660"
"399","Oct 18, 2016",3,3.02,2.87,2.96,"5,252","3,861,900"
"398","Oct 19, 2016",2.96,2.96,2.81,2.84,"7,803","3,813,880"
"397","Oct 20, 2016",2.89,2.89,2.73,2.78,"2,052","3,720,390"
"396","Oct 21, 2016",2.76,2.8,2.72,2.75,"1,071","3,560,680"
"395","Oct 22, 2016",2.76,2.84,2.74,2.82,"7,077","3,555,020"
"394","Oct 23, 2016",2.83,2.98,2.82,2.89,"6,597","3,642,790"
"393","Oct 24, 2016",2.89,2.98,2.86,2.9,"1,995","3,725,110"
"392","Oct 25, 2016",2.9,3.07,2.9,2.97,"8,570","3,735,300"
"391","Oct 26, 2016",2.97,3.05,2.83,2.87,"8,198","3,829,390"
"390","Oct 27, 2016",2.87,2.99,2.84,2.98,"2,775","3,702,320"
"389","Oct 28, 2016",2.99,2.99,2.83,2.89,"15,395","3,848,100"
"388","Oct 29, 2016",2.89,3.16,2.89,3.12,"8,362","3,720,560"
"387","Oct 30, 2016",3.12,3.19,2.74,2.83,"14,297","4,021,370"
"386","Oct 31, 2016",2.83,3.14,2.81,2.96,"9,451","3,651,720"
"385","Nov 01, 2016",2.96,3.17,2.96,3.02,"3,962","3,816,990"
"384","Nov 02, 2016",3.02,3.2,2.91,2.97,"7,788","3,890,110"
"383","Nov 03, 2016",2.98,3.09,2.77,2.84,"9,131","3,837,810"
"382","Nov 04, 2016",2.84,3.08,2.83,2.95,"3,020","3,659,810"
"381","Nov 05, 2016",2.95,3.09,2.9,2.94,"518","3,806,460"
