"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",11.2,11.47,11.01,11.42,"748,265","75,337,800"
"436","Sep 11, 2016",11.42,11.62,10.96,11.14,"583,102","76,892,700"
"435","Sep 12, 2016",11.16,12.82,11.1,12.26,"1,357,900","75,150,600"
"434","Sep 13, 2016",12.31,13,12.1,13,"775,508","82,919,500"
"433","Sep 14, 2016",13,13,12.36,12.71,"683,059","87,620,200"
"432","Sep 15, 2016",12.74,12.74,12.14,12.21,"592,210","85,882,800"
"431","Sep 16, 2016",12.21,12.27,11.64,11.72,"519,023","82,343,700"
"430","Sep 17, 2016",11.72,11.93,11.54,11.78,"385,226","79,017,600"
"429","Sep 18, 2016",11.77,11.85,11.61,11.64,"378,121","79,397,100"
"428","Sep 19, 2016",11.68,11.75,11.35,11.54,"548,366","78,808,400"
"427","Sep 20, 2016",11.52,11.58,11.23,11.41,"447,288","77,743,400"
"426","Sep 21, 2016",11.47,11.72,11.17,11.53,"639,852","77,453,300"
"425","Sep 22, 2016",11.54,11.7,11.32,11.54,"462,190","77,970,700"
"424","Sep 23, 2016",11.52,11.7,11.4,11.54,"346,538","77,854,100"
"423","Sep 24, 2016",11.55,11.6,11.43,11.53,"248,501","78,052,900"
"422","Sep 25, 2016",11.52,11.66,11.46,11.55,"293,042","77,913,600"
"421","Sep 26, 2016",11.56,11.61,11.3,11.41,"466,947","78,189,900"
"420","Sep 27, 2016",11.41,11.64,11.38,11.64,"437,637","77,160,600"
"419","Sep 28, 2016",11.64,11.64,11.47,11.59,"380,292","78,749,100"
"418","Sep 29, 2016",11.59,12.15,11.58,12.01,"627,955","78,432,900"
"417","Sep 30, 2016",12.04,12.25,11.74,12.1,"624,527","81,564,000"
"416","Oct 01, 2016",12.1,12.11,11.67,11.71,"599,642","81,946,600"
"415","Oct 02, 2016",11.71,11.97,11.64,11.78,"418,786","79,364,000"
"414","Oct 03, 2016",11.79,12.27,11.78,11.89,"485,966","79,945,400"
"413","Oct 04, 2016",11.88,12.06,11.7,12.06,"428,041","80,553,000"
"412","Oct 05, 2016",12.05,12.06,11.83,12.03,"459,125","81,727,600"
"411","Oct 06, 2016",12.05,12.26,12,12.06,"572,725","81,854,800"
"410","Oct 07, 2016",12.05,12.13,11.75,11.87,"540,185","81,894,000"
"409","Oct 08, 2016",11.88,11.99,11.65,11.72,"362,282","80,713,900"
"408","Oct 09, 2016",11.73,11.86,11.59,11.59,"389,417","79,726,300"
"407","Oct 10, 2016",11.59,11.76,11.57,11.69,"342,278","78,807,400"
"406","Oct 11, 2016",11.69,11.84,11.48,11.73,"616,754","79,511,500"
"405","Oct 12, 2016",11.74,11.97,11.33,11.43,"535,850","79,911,200"
"404","Oct 13, 2016",11.43,11.67,11.39,11.44,"351,218","77,803,800"
"403","Oct 14, 2016",11.44,11.68,11.41,11.53,"434,177","77,899,700"
"402","Oct 15, 2016",11.52,11.63,11.05,11.1,"421,471","78,467,700"
"401","Oct 16, 2016",11.1,11.29,10.85,10.85,"421,644","75,628,100"
"400","Oct 17, 2016",10.84,10.88,10.52,10.62,"501,778","73,893,100"
"399","Oct 18, 2016",10.62,10.62,9.97,10.21,"622,564","72,371,800"
"398","Oct 19, 2016",10.2,10.46,10.13,10.29,"623,278","69,574,100"
"397","Oct 20, 2016",10.3,10.78,10.24,10.5,"1,118,960","70,293,600"
"396","Oct 21, 2016",10.55,10.87,10.46,10.77,"1,101,460","71,970,700"
"395","Oct 22, 2016",10.77,10.78,10.26,10.36,"1,057,070","73,483,300"
"394","Oct 23, 2016",10.37,10.47,9.95,9.96,"1,071,280","70,799,500"
"393","Oct 24, 2016",9.96,10.16,9.77,9.85,"1,138,230","68,050,400"
"392","Oct 25, 2016",9.86,10,9.08,9.41,"1,147,660","67,345,800"
"391","Oct 26, 2016",9.39,9.55,8.95,9.34,"1,507,430","64,195,800"
"390","Oct 27, 2016",9.32,9.91,9.14,9.71,"1,527,680","63,723,300"
"389","Oct 28, 2016",9.72,9.73,9.05,9.07,"1,102,490","66,491,500"
"388","Oct 29, 2016",9.07,9.36,8.05,8.61,"1,459,460","62,012,400"
"387","Oct 30, 2016",8.63,9.72,8.63,9.67,"1,180,810","59,059,600"
"386","Oct 31, 2016",9.68,9.9,9.05,9.2,"1,001,140","66,226,100"
"385","Nov 01, 2016",9.21,9.34,8.65,9.04,"1,334,790","63,075,600"
"384","Nov 02, 2016",9.01,9.36,8.8,8.94,"1,234,770","61,677,200"
"383","Nov 03, 2016",8.99,9.44,8.79,9.12,"1,443,680","61,580,500"
"382","Nov 04, 2016",9.13,9.29,8.96,9.13,"1,315,030","62,569,800"
"381","Nov 05, 2016",9.12,9.26,9.05,9.21,"764,091","62,557,700"
"380","Nov 06, 2016",9.21,9.48,9.13,9.4,"1,174,590","63,217,900"
"379","Nov 07, 2016",9.4,9.92,9.27,9.92,"1,597,080","64,568,400"
"378","Nov 08, 2016",9.88,10.49,9.7,9.76,"1,509,000","67,892,400"
"377","Nov 09, 2016",9.73,10,9.4,9.7,"951,744","66,863,400"
"376","Nov 10, 2016",9.67,9.76,9.53,9.67,"621,946","66,481,100"
"375","Nov 11, 2016",9.65,9.74,9.51,9.67,"978,517","66,375,200"
"374","Nov 12, 2016",9.69,9.86,9.56,9.64,"1,066,110","66,632,200"
"373","Nov 13, 2016",9.63,9.72,9.4,9.49,"828,714","66,259,100"
"372","Nov 14, 2016",9.54,9.74,9.45,9.68,"619,525","65,630,600"
"371","Nov 15, 2016",9.7,9.73,9.5,9.64,"899,729","66,754,800"
"370","Nov 16, 2016",9.64,9.67,9.1,9.45,"850,986","66,347,900"
"369","Nov 17, 2016",9.44,9.46,9.01,9.02,"1,037,810","65,038,700"
"368","Nov 18, 2016",9.02,9.11,8.79,8.95,"867,850","62,179,200"
"367","Nov 19, 2016",8.96,8.97,8.42,8.48,"1,120,590","61,722,700"
"366","Nov 20, 2016",8.5,8.61,8.32,8.51,"837,398","58,585,000"
"365","Nov 21, 2016",8.49,8.62,8.41,8.58,"685,102","58,578,200"
"364","Nov 22, 2016",8.58,8.84,8.55,8.63,"822,084","59,180,400"
"363","Nov 23, 2016",8.67,8.73,8.47,8.51,"798,355","59,792,300"
"362","Nov 24, 2016",8.44,9.14,8.34,9.13,"929,254","58,260,600"
"361","Nov 25, 2016",9.14,9.18,8.76,9.1,"1,170,070","63,117,400"
"360","Nov 26, 2016",9.11,9.13,8.79,8.9,"947,235","62,900,600"
"359","Nov 27, 2016",8.9,9.17,8.89,9.09,"1,058,670","61,471,600"
"358","Nov 28, 2016",9.07,9.14,8.95,8.96,"848,792","62,666,300"
"357","Nov 29, 2016",8.96,9.05,8.62,8.82,"1,402,230","61,963,800"
"356","Nov 30, 2016",8.82,8.95,8.75,8.91,"605,542","61,023,300"
"355","Dec 01, 2016",8.91,8.94,8.7,8.74,"672,328","61,634,000"
"354","Dec 02, 2016",8.75,8.86,8.61,8.66,"823,934","60,538,100"
"353","Dec 03, 2016",8.64,8.92,8.61,8.88,"939,632","59,770,500"
"352","Dec 04, 2016",8.87,9.01,8.66,8.82,"889,416","61,445,900"
"351","Dec 05, 2016",8.8,8.9,8.48,8.56,"979,175","61,042,900"
"350","Dec 06, 2016",8.56,8.81,8.49,8.8,"1,016,800","59,386,400"
"349","Dec 07, 2016",8.78,8.82,8.66,8.68,"787,296","60,880,100"
"348","Dec 08, 2016",8.69,8.79,8.66,8.75,"713,673","60,292,700"
"347","Dec 09, 2016",8.75,8.85,8.72,8.83,"870,014","60,752,100"
"346","Dec 10, 2016",8.84,8.93,8.81,8.88,"781,253","61,391,600"
"345","Dec 11, 2016",8.88,9.59,8.78,9.54,"1,065,390","61,671,200"
"344","Dec 12, 2016",9.52,9.66,9.07,9.1,"1,054,770","66,123,200"
"343","Dec 13, 2016",9.07,9.43,9.05,9.39,"971,378","63,064,100"
"342","Dec 14, 2016",9.4,9.42,9.1,9.16,"1,416,530","65,366,300"
"341","Dec 15, 2016",9.18,9.39,9.08,9.3,"1,999,050","63,821,200"
"340","Dec 16, 2016",9.29,9.98,9.17,9.89,"1,951,350","64,662,300"
"339","Dec 17, 2016",9.87,9.91,9.39,9.74,"1,964,650","68,667,100"
"338","Dec 18, 2016",9.72,9.94,9.64,9.89,"1,935,260","67,675,800"
"337","Dec 19, 2016",9.88,10.53,9.87,10.32,"2,089,000","68,822,100"
"336","Dec 20, 2016",10.33,10.51,10.22,10.22,"2,236,060","71,983,000"
"335","Dec 21, 2016",10.23,10.27,9.78,9.81,"2,189,580","71,265,200"
"334","Dec 22, 2016",9.84,9.93,9.21,9.79,"2,611,390","68,569,100"
"333","Dec 23, 2016",9.77,9.9,9.24,9.56,"2,883,150","68,143,200"
"332","Dec 24, 2016",9.59,10.02,9.59,9.83,"2,686,220","66,873,600"
"331","Dec 25, 2016",9.82,10.17,9.78,10.01,"2,578,850","68,476,200"
"330","Dec 26, 2016",9.98,10.17,9.7,9.7,"2,106,310","69,653,100"
"329","Dec 27, 2016",9.72,9.91,9.45,9.74,"2,285,700","67,846,400"
"328","Dec 28, 2016",9.73,10.36,9.72,10.07,"2,490,150","67,916,000"
"327","Dec 29, 2016",10.05,11.05,10.01,10.85,"3,237,930","70,227,400"
"326","Dec 30, 2016",10.83,11.44,10.72,11.11,"4,445,310","75,640,100"
"325","Dec 31, 2016",11.14,11.33,10.93,11.21,"3,468,330","77,833,900"
"324","Jan 01, 2017",11.21,11.49,10.96,11.23,"3,684,210","78,350,600"
"323","Jan 02, 2017",11.27,11.96,11.24,11.81,"3,800,380","78,789,700"
"322","Jan 03, 2017",11.81,13.05,11.81,12.78,"3,846,520","82,603,400"
"321","Jan 04, 2017",12.81,16.96,12.75,16.52,"4,901,250","89,664,000"
"320","Jan 05, 2017",16.58,17.11,12.94,14.38,"2,579,450","116,187,000"
"319","Jan 06, 2017",14.42,14.87,11.87,12.03,"2,262,740","101,082,000"
"318","Jan 07, 2017",11.96,12.59,11.39,12.44,"2,542,530","83,814,000"
"317","Jan 08, 2017",12.42,13.12,12.19,12.54,"3,118,970","87,104,800"
"316","Jan 09, 2017",12.57,12.6,12.03,12.09,"2,365,630","88,154,300"
"315","Jan 10, 2017",12.02,12.65,11.98,12.49,"1,391,630","84,366,800"
"314","Jan 11, 2017",12.47,12.8,10.83,11.3,"3,100,210","87,501,500"
"313","Jan 12, 2017",11.29,12.53,11.05,12.22,"8,272,830","79,295,200"
"312","Jan 13, 2017",12.21,12.66,11.5,12.59,"8,400,930","85,789,600"
"311","Jan 14, 2017",12.59,12.66,12,12.08,"7,960,870","88,482,900"
"310","Jan 15, 2017",12.08,12.55,12.02,12.39,"4,362,180","84,869,100"
"309","Jan 16, 2017",12.37,13.08,12.04,12.94,"3,715,630","86,960,200"
"308","Jan 17, 2017",12.92,14.41,12.91,14.25,"1,810,660","90,828,600"
"307","Jan 18, 2017",14.25,14.3,13.48,14.06,"1,510,760","100,228,000"
"306","Jan 19, 2017",14.12,15.28,14.12,15.18,"2,170,870","99,371,100"
"305","Jan 20, 2017",15.14,15.48,14.83,15.16,"2,021,010","106,564,000"
"304","Jan 21, 2017",15.19,15.37,14.83,14.97,"1,958,960","106,916,000"
"303","Jan 22, 2017",15,15.52,14.96,15.11,"1,918,440","105,622,000"
"302","Jan 23, 2017",15.13,15.32,14.99,15.19,"1,553,800","106,549,000"
"301","Jan 24, 2017",15.11,15.11,13.91,14.09,"2,694,720","106,493,000"
"300","Jan 25, 2017",14.1,14.61,13.9,14.51,"1,656,580","99,366,700"
"299","Jan 26, 2017",14.49,15.05,14.43,15.04,"1,348,170","102,158,000"
"298","Jan 27, 2017",15.06,15.41,14.99,15.34,"1,303,190","106,228,000"
"297","Jan 28, 2017",15.33,15.36,15.07,15.27,"1,333,010","108,155,000"
"296","Jan 29, 2017",15.26,15.65,15.17,15.51,"1,363,910","107,705,000"
"295","Jan 30, 2017",15.5,16.03,15.5,15.96,"2,046,270","109,407,000"
"294","Jan 31, 2017",15.93,16.22,15.78,16.07,"1,384,500","112,498,000"
"293","Feb 01, 2017",16.05,16.24,15.65,16.03,"2,139,000","113,338,000"
"292","Feb 02, 2017",15.98,16.41,15.85,16.31,"1,350,760","112,934,000"
"291","Feb 03, 2017",16.31,17.61,16.31,17.52,"1,818,910","115,306,000"
"290","Feb 04, 2017",17.55,17.74,17.28,17.62,"1,598,070","124,173,000"
"289","Feb 05, 2017",17.54,17.67,16.84,17.06,"1,905,980","124,154,000"
"288","Feb 06, 2017",17.07,17.24,16.7,17.12,"1,025,680","120,894,000"
"287","Feb 07, 2017",17.11,17.51,17.04,17.14,"1,388,260","121,211,000"
"286","Feb 08, 2017",17.14,17.4,16.85,17.35,"1,552,640","121,430,000"
"285","Feb 09, 2017",17.34,17.6,15.69,16.58,"1,793,860","122,937,000"
"284","Feb 10, 2017",16.58,16.89,15.84,16.67,"1,386,930","117,570,000"
"283","Feb 11, 2017",16.69,17.22,16.6,17.15,"1,216,530","118,350,000"
"282","Feb 12, 2017",17.15,17.15,16.83,16.91,"1,264,080","121,667,000"
"281","Feb 13, 2017",16.88,17.05,16.63,16.88,"1,464,030","119,800,000"
"280","Feb 14, 2017",16.85,18.37,16.8,18.15,"1,948,330","119,626,000"
"279","Feb 15, 2017",18.1,19.66,17.7,19.63,"3,355,410","128,554,000"
"278","Feb 16, 2017",19.64,19.81,19.14,19.52,"2,859,140","139,499,000"
"277","Feb 17, 2017",19.47,20.15,19.19,20,"1,859,180","138,366,000"
"276","Feb 18, 2017",20.05,21.53,20.05,21.41,"3,498,460","142,505,000"
"275","Feb 19, 2017",21.46,23.73,21.44,22.55,"5,688,120","152,571,000"
"274","Feb 20, 2017",22.6,22.94,21.24,21.59,"4,159,380","160,743,000"
"273","Feb 21, 2017",21.6,22.1,20.45,21.25,"4,093,200","153,668,000"
"272","Feb 22, 2017",21.24,22.19,20.99,22.12,"2,625,710","151,098,000"
"271","Feb 23, 2017",22.09,25.23,22.09,25.22,"4,664,780","157,238,000"
