"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.00023,0.000271,0.000227,0.000227,"98,397","24,397,300"
"436","Sep 11, 2016",0.000228,0.000257,0.000225,0.000226,"96,144","24,128,600"
"435","Sep 12, 2016",0.000226,0.000227,0.000223,0.000226,"128,679","23,984,100"
"434","Sep 13, 2016",0.000226,0.000229,0.000222,0.000225,"65,947","23,974,200"
"433","Sep 14, 2016",0.000228,0.000229,0.000223,0.000226,"141,810","24,134,600"
"432","Sep 15, 2016",0.000228,0.000236,0.000223,0.000233,"305,283","24,152,800"
"431","Sep 16, 2016",0.000233,0.000256,0.00023,0.00025,"775,759","24,677,200"
"430","Sep 17, 2016",0.000248,0.000251,0.000236,0.000236,"375,370","26,280,700"
"429","Sep 18, 2016",0.000236,0.00024,0.000232,0.00024,"159,346","25,081,400"
"428","Sep 19, 2016",0.000237,0.00024,0.00023,0.000236,"178,186","25,159,700"
"427","Sep 20, 2016",0.000232,0.000236,0.000229,0.000232,"131,253","24,639,800"
"426","Sep 21, 2016",0.000234,0.000234,0.000224,0.000231,"314,763","24,876,400"
"425","Sep 22, 2016",0.000231,0.000233,0.000224,0.000228,"109,829","24,553,200"
"424","Sep 23, 2016",0.000228,0.000251,0.000224,0.000224,"230,223","24,149,000"
"423","Sep 24, 2016",0.000228,0.000229,0.000223,0.000226,"95,231","24,240,600"
"422","Sep 25, 2016",0.000226,0.000228,0.000224,0.000225,"93,891","24,025,200"
"421","Sep 26, 2016",0.000225,0.00023,0.000225,0.000229,"164,711","23,855,500"
"420","Sep 27, 2016",0.000228,0.000233,0.000227,0.000228,"140,515","24,235,000"
"419","Sep 28, 2016",0.00023,0.000233,0.000226,0.000229,"154,501","24,428,500"
"418","Sep 29, 2016",0.000229,0.000232,0.000226,0.000231,"175,265","24,292,700"
"417","Sep 30, 2016",0.000229,0.000235,0.000229,0.000235,"147,126","24,374,500"
"416","Oct 01, 2016",0.000232,0.000237,0.00023,0.000233,"149,333","24,699,500"
"415","Oct 02, 2016",0.00023,0.000234,0.000229,0.00023,"63,768","24,466,700"
"414","Oct 03, 2016",0.00023,0.000237,0.00023,0.000234,"143,210","24,492,400"
"413","Oct 04, 2016",0.000236,0.000237,0.000229,0.000229,"121,528","25,105,300"
"412","Oct 05, 2016",0.000229,0.000233,0.000228,0.000233,"59,006","24,346,000"
"411","Oct 06, 2016",0.00023,0.000234,0.000223,0.000223,"316,034","24,492,900"
"410","Oct 07, 2016",0.000223,0.000231,0.000223,0.000228,"100,431","23,731,500"
"409","Oct 08, 2016",0.000228,0.00023,0.000225,0.000225,"91,295","24,198,600"
"408","Oct 09, 2016",0.000228,0.000231,0.000226,0.000228,"72,974","24,234,500"
"407","Oct 10, 2016",0.000228,0.000231,0.000227,0.000228,"74,304","24,259,200"
"406","Oct 11, 2016",0.000228,0.000235,0.000223,0.00023,"255,195","24,233,700"
"405","Oct 12, 2016",0.00023,0.00023,0.000224,0.000225,"136,557","24,492,900"
"404","Oct 13, 2016",0.000225,0.000229,0.000221,0.000227,"74,930","23,967,100"
"403","Oct 14, 2016",0.000227,0.000228,0.000222,0.000227,"94,112","24,136,400"
"402","Oct 15, 2016",0.000225,0.000228,0.000221,0.000224,"54,319","23,947,700"
"401","Oct 16, 2016",0.000225,0.000228,0.00022,0.000223,"73,212","23,933,400"
"400","Oct 17, 2016",0.000223,0.000225,0.000221,0.000221,"94,380","23,711,200"
"399","Oct 18, 2016",0.000223,0.000224,0.00022,0.000221,"63,436","23,706,100"
"398","Oct 19, 2016",0.000222,0.000223,0.000217,0.000219,"102,827","23,629,600"
"397","Oct 20, 2016",0.000217,0.000222,0.000217,0.000221,"72,548","23,144,000"
"396","Oct 21, 2016",0.000221,0.000222,0.000218,0.000218,"50,624","23,551,500"
"395","Oct 22, 2016",0.000218,0.000226,0.000218,0.000223,"104,100","23,267,900"
"394","Oct 23, 2016",0.000223,0.000225,0.000219,0.000221,"64,536","23,792,300"
"393","Oct 24, 2016",0.000221,0.000222,0.000218,0.000219,"79,079","23,512,000"
"392","Oct 25, 2016",0.000219,0.000223,0.000219,0.000219,"93,591","23,331,800"
"391","Oct 26, 2016",0.000219,0.000222,0.000215,0.000216,"143,192","23,383,300"
"390","Oct 27, 2016",0.000216,0.000221,0.000215,0.000217,"122,038","23,037,000"
"389","Oct 28, 2016",0.000219,0.00022,0.000213,0.000216,"95,798","23,320,100"
"388","Oct 29, 2016",0.000219,0.000232,0.000216,0.000223,"563,580","23,316,500"
"387","Oct 30, 2016",0.000223,0.000224,0.000219,0.000223,"112,318","23,767,900"
"386","Oct 31, 2016",0.000222,0.000229,0.000218,0.00022,"147,892","23,696,200"
"385","Nov 01, 2016",0.00022,0.000226,0.000218,0.000221,"169,851","23,490,600"
"384","Nov 02, 2016",0.000221,0.000224,0.000217,0.00022,"71,284","23,574,500"
"383","Nov 03, 2016",0.000223,0.000224,0.000216,0.000217,"157,604","23,832,300"
"382","Nov 04, 2016",0.000219,0.000222,0.000217,0.000219,"74,584","23,425,500"
"381","Nov 05, 2016",0.000221,0.000224,0.000219,0.000222,"51,849","23,553,900"
"380","Nov 06, 2016",0.000221,0.000223,0.000218,0.000221,"67,305","23,591,300"
"379","Nov 07, 2016",0.000222,0.000258,0.000219,0.000239,"922,936","23,678,600"
"378","Nov 08, 2016",0.000239,0.000243,0.000227,0.000229,"186,033","25,539,800"
"377","Nov 09, 2016",0.000229,0.000234,0.000224,0.000229,"117,069","24,466,700"
"376","Nov 10, 2016",0.000229,0.000231,0.000224,0.000228,"113,130","24,483,800"
"375","Nov 11, 2016",0.000228,0.00023,0.000225,0.000227,"111,646","24,366,300"
"374","Nov 12, 2016",0.000226,0.000229,0.00022,0.00022,"198,530","24,190,900"
"373","Nov 13, 2016",0.00022,0.000226,0.000218,0.000225,"145,317","23,533,800"
"372","Nov 14, 2016",0.000225,0.000225,0.000221,0.000223,"54,995","24,093,500"
"371","Nov 15, 2016",0.000223,0.000224,0.000219,0.000222,"106,308","23,865,500"
"370","Nov 16, 2016",0.000222,0.000227,0.000219,0.000221,"133,220","23,707,400"
"369","Nov 17, 2016",0.000222,0.000227,0.00022,0.000224,"106,863","23,768,900"
"368","Nov 18, 2016",0.000223,0.000224,0.000217,0.000218,"142,607","23,848,400"
"367","Nov 19, 2016",0.000221,0.000221,0.000217,0.00022,"56,456","23,589,000"
"366","Nov 20, 2016",0.00022,0.000222,0.000215,0.000219,"84,047","23,547,400"
"365","Nov 21, 2016",0.000218,0.000224,0.000216,0.000222,"75,165","23,277,800"
"364","Nov 22, 2016",0.000222,0.000224,0.000219,0.000224,"78,701","23,758,700"
"363","Nov 23, 2016",0.000223,0.000224,0.000215,0.000219,"71,915","23,861,100"
"362","Nov 24, 2016",0.000216,0.000219,0.000213,0.000218,"106,697","23,075,200"
"361","Nov 25, 2016",0.000218,0.000221,0.000216,0.00022,"55,052","23,332,700"
"360","Nov 26, 2016",0.000221,0.000222,0.000216,0.000219,"51,450","23,653,600"
"359","Nov 27, 2016",0.000219,0.000222,0.000216,0.000217,"64,760","23,420,800"
"358","Nov 28, 2016",0.000217,0.000226,0.000216,0.000218,"77,058","23,242,600"
"357","Nov 29, 2016",0.000219,0.000219,0.000214,0.000217,"75,059","23,401,700"
"356","Nov 30, 2016",0.000216,0.000217,0.000213,0.000214,"50,524","23,146,000"
"355","Dec 01, 2016",0.000215,0.000219,0.000213,0.000214,"121,422","22,982,300"
"354","Dec 02, 2016",0.000214,0.000221,0.000212,0.000216,"94,692","22,961,000"
"353","Dec 03, 2016",0.000216,0.000218,0.000214,0.000217,"79,712","23,118,000"
"352","Dec 04, 2016",0.000215,0.000218,0.000213,0.000217,"55,311","23,085,100"
"351","Dec 05, 2016",0.000216,0.000217,0.000208,0.000215,"125,542","23,198,100"
"350","Dec 06, 2016",0.000215,0.000215,0.000208,0.000212,"56,771","23,017,400"
"349","Dec 07, 2016",0.000212,0.000215,0.00021,0.000214,"78,009","22,773,100"
"348","Dec 08, 2016",0.000212,0.000216,0.000211,0.000215,"73,483","22,712,500"
"347","Dec 09, 2016",0.000215,0.000215,0.000211,0.000212,"70,556","23,002,100"
"346","Dec 10, 2016",0.000211,0.000217,0.00021,0.000215,"113,819","22,644,700"
"345","Dec 11, 2016",0.000214,0.000224,0.000213,0.000223,"164,021","22,995,700"
"344","Dec 12, 2016",0.000224,0.000226,0.000218,0.000222,"111,702","24,043,300"
"343","Dec 13, 2016",0.00022,0.000223,0.000215,0.000216,"82,531","23,618,600"
"342","Dec 14, 2016",0.000215,0.00022,0.000214,0.000217,"60,084","23,105,600"
"341","Dec 15, 2016",0.000215,0.00022,0.000214,0.000215,"100,360","23,107,200"
"340","Dec 16, 2016",0.000215,0.000218,0.000213,0.000217,"92,083","23,085,900"
"339","Dec 17, 2016",0.000217,0.00022,0.000212,0.000219,"155,943","23,277,700"
"338","Dec 18, 2016",0.000219,0.00022,0.000215,0.000218,"73,407","23,470,700"
"337","Dec 19, 2016",0.000216,0.000222,0.000216,0.000218,"225,757","23,232,400"
"336","Dec 20, 2016",0.000219,0.00022,0.000216,0.000219,"186,803","23,480,100"
"335","Dec 21, 2016",0.00022,0.000228,0.000218,0.000227,"205,205","23,608,500"
"334","Dec 22, 2016",0.000228,0.00023,0.000222,0.000225,"260,272","24,450,800"
"333","Dec 23, 2016",0.000225,0.000237,0.000222,0.000236,"378,406","24,169,100"
"332","Dec 24, 2016",0.000238,0.000252,0.000232,0.000234,"422,843","25,568,700"
"331","Dec 25, 2016",0.000234,0.000236,0.000225,0.00023,"241,911","25,116,200"
"330","Dec 26, 2016",0.000231,0.000234,0.000229,0.000233,"141,805","24,873,000"
"329","Dec 27, 2016",0.000232,0.000235,0.000223,0.000227,"251,069","24,924,000"
"328","Dec 28, 2016",0.000227,0.000231,0.00022,0.000223,"295,278","24,448,700"
"327","Dec 29, 2016",0.000223,0.000235,0.000221,0.000228,"214,764","23,991,800"
"326","Dec 30, 2016",0.000234,0.000234,0.000222,0.000228,"176,730","25,128,400"
"325","Dec 31, 2016",0.000227,0.000228,0.000223,0.000223,"73,496","24,454,500"
"324","Jan 01, 2017",0.000223,0.000228,0.000221,0.000228,"136,829","24,026,000"
"323","Jan 02, 2017",0.000228,0.00023,0.000222,0.000226,"195,520","24,560,200"
"322","Jan 03, 2017",0.000224,0.000228,0.000222,0.000227,"132,352","24,049,700"
"321","Jan 04, 2017",0.000227,0.000239,0.000225,0.000236,"442,095","24,417,800"
"320","Jan 05, 2017",0.000233,0.000257,0.000221,0.000229,"994,730","25,089,500"
"319","Jan 06, 2017",0.000228,0.000235,0.000218,0.00022,"305,084","24,493,200"
"318","Jan 07, 2017",0.000222,0.000228,0.000216,0.000221,"315,096","23,845,200"
"317","Jan 08, 2017",0.000224,0.00023,0.000219,0.000221,"132,159","24,134,500"
"316","Jan 09, 2017",0.000221,0.00023,0.000216,0.000229,"160,173","23,819,300"
