"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.020404,0.02121,0.020234,0.020751,"121,197","20,383,500"
"436","Sep 11, 2016",0.02079,0.020941,0.019315,0.019888,"162,895","20,769,300"
"435","Sep 12, 2016",0.019865,0.020836,0.019536,0.02003,"167,050","19,845,500"
"434","Sep 13, 2016",0.020031,0.020592,0.019847,0.020054,"120,318","20,011,400"
"433","Sep 14, 2016",0.019971,0.020318,0.019726,0.019886,"115,613","19,950,800"
"432","Sep 15, 2016",0.019871,0.020895,0.019861,0.020093,"228,378","19,851,200"
"431","Sep 16, 2016",0.020059,0.020155,0.017942,0.018111,"373,194","20,038,600"
"430","Sep 17, 2016",0.018008,0.018909,0.017684,0.018094,"237,493","17,989,900"
"429","Sep 18, 2016",0.018062,0.018352,0.017058,0.017213,"169,204","18,044,200"
"428","Sep 19, 2016",0.01729,0.017549,0.016132,0.01669,"267,186","17,273,100"
"427","Sep 20, 2016",0.01671,0.016736,0.014345,0.015336,"353,562","16,693,000"
"426","Sep 21, 2016",0.015287,0.016828,0.014877,0.016298,"248,164","15,271,500"
"425","Sep 22, 2016",0.01622,0.016896,0.015495,0.016083,"156,658","16,203,500"
"424","Sep 23, 2016",0.016076,0.016123,0.015246,0.015359,"125,825","16,060,300"
"423","Sep 24, 2016",0.015358,0.015492,0.015109,0.015271,"78,656","15,343,000"
"422","Sep 25, 2016",0.015211,0.016351,0.015147,0.01618,"99,194","15,195,400"
"421","Sep 26, 2016",0.016177,0.016239,0.014894,0.015034,"218,974","16,160,600"
"420","Sep 27, 2016",0.015041,0.015041,0.014107,0.0144,"121,797","15,026,400"
"419","Sep 28, 2016",0.014439,0.01449,0.013352,0.013583,"144,242","14,424,700"
"418","Sep 29, 2016",0.013596,0.013775,0.012343,0.012835,"206,832","13,582,900"
"417","Sep 30, 2016",0.012805,0.015371,0.012111,0.012146,"156,353","12,792,600"
"416","Oct 01, 2016",0.012159,0.012593,0.011238,0.011557,"223,355","12,146,500"
"415","Oct 02, 2016",0.011615,0.012066,0.011128,0.011192,"127,225","11,603,400"
"414","Oct 03, 2016",0.011197,0.011361,0.010407,0.010477,"157,472","11,186,000"
"413","Oct 04, 2016",0.010477,0.013499,0.01026,0.012747,"725,325","10,466,300"
"412","Oct 05, 2016",0.012641,0.012641,0.010981,0.01154,"376,338","12,628,200"
"411","Oct 06, 2016",0.011484,0.013658,0.011027,0.013074,"307,946","11,472,400"
"410","Oct 07, 2016",0.012956,0.013593,0.012396,0.012672,"241,753","12,943,000"
"409","Oct 08, 2016",0.012694,0.012858,0.011434,0.0115,"138,467","12,680,900"
"408","Oct 09, 2016",0.011504,0.012499,0.011501,0.012086,"141,448","11,492,200"
"407","Oct 10, 2016",0.012083,0.012228,0.011391,0.011899,"197,277","12,070,600"
"406","Oct 11, 2016",0.011847,0.012247,0.011327,0.01169,"173,443","11,834,900"
"405","Oct 12, 2016",0.011703,0.01202,0.011266,0.011397,"90,266","11,691,400"
"404","Oct 13, 2016",0.011447,0.011516,0.009494,0.009866,"479,753","11,435,400"
"403","Oct 14, 2016",0.009859,0.010227,0.008694,0.008775,"367,796","9,849,580"
"402","Oct 15, 2016",0.008829,0.008897,0.008019,0.008109,"493,972","8,820,200"
"401","Oct 16, 2016",0.008111,0.008919,0.007963,0.008054,"354,124","8,102,970"
"400","Oct 17, 2016",0.008083,0.008784,0.007849,0.008011,"287,708","8,074,800"
"399","Oct 18, 2016",0.008012,0.00813,0.007668,0.007832,"144,308","8,003,930"
"398","Oct 19, 2016",0.007864,0.007912,0.007519,0.007766,"115,262","7,855,950"
"397","Oct 20, 2016",0.007766,0.007984,0.007702,0.00779,"73,557","7,758,480"
"396","Oct 21, 2016",0.007785,0.007927,0.00769,0.007738,"63,359","7,777,320"
"395","Oct 22, 2016",0.007728,0.007771,0.007372,0.007651,"109,412","7,720,640"
"394","Oct 23, 2016",0.007613,0.00776,0.007424,0.007458,"80,352","7,605,710"
"393","Oct 24, 2016",0.007464,0.007621,0.007287,0.007598,"106,647","7,456,830"
"392","Oct 25, 2016",0.007574,0.007574,0.007123,0.007162,"78,170","7,566,330"
"391","Oct 26, 2016",0.007183,0.007292,0.006933,0.007091,"85,220","7,176,310"
"390","Oct 27, 2016",0.007076,0.007157,0.006642,0.006676,"96,873","7,068,880"
"389","Oct 28, 2016",0.006677,0.007189,0.006526,0.006747,"126,798","6,670,570"
