"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.004541,0.00482,0.004161,0.004471,"430","201,586"
"436","Sep 11, 2016",0.004471,0.004584,0.004205,0.004397,"242","198,758"
"435","Sep 12, 2016",0.004399,0.005088,0.004205,0.004682,"458","195,844"
"434","Sep 13, 2016",0.004683,0.005079,0.00415,0.00454,"663","208,831"
"433","Sep 14, 2016",0.004541,0.004632,0.004281,0.004507,"289","202,779"
"432","Sep 15, 2016",0.004507,0.004507,0.003606,0.003763,"569","201,533"
"431","Sep 16, 2016",0.003762,0.004192,0.003637,0.003702,"535","168,483"
"430","Sep 17, 2016",0.003703,0.004146,0.003474,0.004111,"613","166,042"
"429","Sep 18, 2016",0.003607,0.004189,0.003521,0.003706,"1,246","161,969"
"428","Sep 19, 2016",0.003706,0.003931,0.003695,0.003838,"822","166,642"
"427","Sep 20, 2016",0.003838,0.00401,0.00374,0.00377,"263","172,800"
"426","Sep 21, 2016",0.003765,0.00392,0.003683,0.003898,"16","169,737"
"425","Sep 22, 2016",0.003898,0.003907,0.003781,0.00382,"213","175,943"
"424","Sep 23, 2016",0.00382,0.005074,0.003818,0.003943,"40","172,546"
"423","Sep 24, 2016",0.003943,0.004017,0.003751,0.003754,"188","178,301"
"422","Sep 25, 2016",0.003754,0.004021,0.003741,0.00402,"205","169,999"
"421","Sep 26, 2016",0.00402,0.004067,0.004016,0.004031,"1","182,242"
"420","Sep 27, 2016",0.00403,0.004068,0.004029,0.004048,"1","182,960"
"419","Sep 28, 2016",0.004056,0.004056,0.003641,0.003641,"263","184,387"
"418","Sep 29, 2016",0.003798,0.003956,0.003642,0.003737,"610","172,839"
"417","Sep 30, 2016",0.003737,0.004023,0.003646,0.003695,"798","170,297"
"416","Oct 01, 2016",0.003695,0.00424,0.003695,0.003813,"1,112","168,589"
"415","Oct 02, 2016",0.003813,0.004008,0.00378,0.003996,"445","174,184"
"414","Oct 03, 2016",0.003995,0.00407,0.003872,0.003874,"1,438","182,746"
"413","Oct 04, 2016",0.003875,0.00397,0.003718,0.003838,"1,551","177,457"
"412","Oct 05, 2016",0.003838,0.003845,0.003566,0.003578,"1,147","175,852"
"411","Oct 06, 2016",0.003577,0.003698,0.003416,0.003688,"590","164,249"
"410","Oct 07, 2016",0.003688,0.003688,0.003248,0.003248,"375","169,523"
"409","Oct 08, 2016",0.003249,0.003442,0.002804,0.003281,"1,461","149,524"
"408","Oct 09, 2016",0.003029,0.003268,0.002874,0.002874,"284","139,587"
"407","Oct 10, 2016",0.002875,0.004,0.002872,0.003711,"947","132,655"
"406","Oct 11, 2016",0.003712,0.00399,0.00319,0.003358,"904","171,499"
"405","Oct 12, 2016",0.003356,0.003562,0.003195,0.003245,"123","155,247"
"404","Oct 13, 2016",0.003245,0.003824,0.003245,0.003464,"626","150,314"
"403","Oct 14, 2016",0.003464,0.004242,0.003464,0.003847,"1,736","160,658"
"402","Oct 15, 2016",0.003847,0.004166,0.003692,0.003978,"390","178,645"
"401","Oct 16, 2016",0.003979,0.004799,0.003979,0.004143,"674","184,968"
"400","Oct 17, 2016",0.004144,0.004149,0.003923,0.003925,"372","192,907"
"399","Oct 18, 2016",0.003925,0.004177,0.003673,0.00391,"882","182,905"
"398","Oct 19, 2016",0.003834,0.004028,0.003518,0.003783,"1,307","178,879"
"397","Oct 20, 2016",0.003783,0.003785,0.003581,0.003761,"77","176,691"
"396","Oct 21, 2016",0.00376,0.003815,0.003515,0.00374,"954","175,800"
"395","Oct 22, 2016",0.00374,0.003743,0.003516,0.003633,"117","175,060"
"394","Oct 23, 2016",0.003635,0.003665,0.003601,0.003659,"61","170,339"
"393","Oct 24, 2016",0.00366,0.003667,0.003138,0.00359,"1,170","171,685"
"392","Oct 25, 2016",0.003589,0.003619,0.003303,0.003556,"109","168,517"
"391","Oct 26, 2016",0.003558,0.005041,0.003558,0.004727,"4,149","167,001"
"390","Oct 27, 2016",0.004726,0.005203,0.003861,0.00452,"1,956","222,422"
"389","Oct 28, 2016",0.004522,0.006882,0.004366,0.005633,"8,120","213,062"
"388","Oct 29, 2016",0.005634,0.009362,0.005347,0.005962,"13,683","265,748"
"387","Oct 30, 2016",0.00596,0.010767,0.005955,0.007004,"16,516","281,424"
"386","Oct 31, 2016",0.007004,0.008748,0.007004,0.00786,"10,392","331,058"
"385","Nov 01, 2016",0.00786,0.009262,0.005633,0.007882,"7,914","371,909"
"384","Nov 02, 2016",0.007885,0.01059,0.006281,0.008228,"11,452","373,487"
"383","Nov 03, 2016",0.008247,0.011322,0.008131,0.008955,"5,394","391,061"
"382","Nov 04, 2016",0.008959,0.010512,0.008176,0.008744,"1,888","425,313"
"381","Nov 05, 2016",0.008743,0.011574,0.008743,0.010511,"12,311","415,483"
"380","Nov 06, 2016",0.010511,0.017465,0.010068,0.013178,"15,972","500,047"
"379","Nov 07, 2016",0.013173,0.017037,0.012493,0.016044,"15,771","627,389"
"378","Nov 08, 2016",0.01605,0.017162,0.012534,0.01279,"8,110","765,208"
"377","Nov 09, 2016",0.012786,0.013504,0.009224,0.009236,"7,188","610,242"
"376","Nov 10, 2016",0.009237,0.011247,0.009218,0.010943,"2,837","441,356"
"375","Nov 11, 2016",0.010944,0.011167,0.008849,0.009091,"394","523,465"
"374","Nov 12, 2016",0.00884,0.011959,0.00863,0.011483,"1,146","423,258"
"373","Nov 13, 2016",0.011485,0.014652,0.011059,0.011633,"5,840","550,515"
"372","Nov 14, 2016",0.011633,0.012794,0.008509,0.00967,"2,630","558,175"
"371","Nov 15, 2016",0.009676,0.010807,0.008534,0.009719,"3,760","464,776"
"370","Nov 16, 2016",0.009932,0.010313,0.00844,0.0094,"1,443","477,595"
"369","Nov 17, 2016",0.009399,0.009623,0.006727,0.007327,"3,464","452,360"
"368","Nov 18, 2016",0.007324,0.008271,0.006792,0.007047,"1,954","352,472"
"367","Nov 19, 2016",0.007046,0.008218,0.006138,0.007667,"3,618","339,083"
"366","Nov 20, 2016",0.007668,0.007671,0.006295,0.006976,"1,064","370,194"
"365","Nov 21, 2016",0.006976,0.006995,0.006293,0.006907,"514","337,108"
"364","Nov 22, 2016",0.006904,0.007337,0.006401,0.00647,"681","333,941"
"363","Nov 23, 2016",0.00647,0.007339,0.006407,0.006621,"558","313,237"
"362","Nov 24, 2016",0.006621,0.007061,0.005905,0.00602,"2,768","320,825"
"361","Nov 25, 2016",0.006019,0.006359,0.005971,0.006342,"115","291,932"
"360","Nov 26, 2016",0.006342,0.006342,0.00559,0.005959,"821","307,893"
"359","Nov 27, 2016",0.005958,0.00596,0.005126,0.005345,"2,145","289,496"
"358","Nov 28, 2016",0.005345,0.005345,0.004258,0.004293,"1,694","259,975"
"357","Nov 29, 2016",0.004294,0.004837,0.00418,0.004278,"701","209,020"
