"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.005872,0.005882,0.005859,0.00587,"310,034","207,375,000"
"436","Sep 11, 2016",0.005866,0.005895,0.005815,0.005842,"533,904","207,186,000"
"435","Sep 12, 2016",0.005844,0.005912,0.005837,0.005897,"680,932","206,386,000"
"434","Sep 13, 2016",0.005899,0.005905,0.005871,0.005886,"836,942","208,335,000"
"433","Sep 14, 2016",0.005888,0.006042,0.005881,0.005961,"1,048,560","207,934,000"
"432","Sep 15, 2016",0.005969,0.008765,0.005953,0.008303,"15,967,600","210,808,000"
"431","Sep 16, 2016",0.008286,0.008333,0.0072,0.007446,"12,342,800","293,807,000"
"430","Sep 17, 2016",0.007391,0.007535,0.006998,0.007018,"1,646,260","262,064,000"
"429","Sep 18, 2016",0.007017,0.007019,0.006788,0.006853,"2,231,350","248,819,000"
"428","Sep 19, 2016",0.006855,0.007178,0.006795,0.006858,"2,930,120","243,070,000"
"427","Sep 20, 2016",0.006865,0.006911,0.006748,0.006785,"1,365,440","243,406,000"
"426","Sep 21, 2016",0.006809,0.006908,0.006709,0.006829,"1,719,470","241,444,000"
"425","Sep 22, 2016",0.006833,0.006986,0.006809,0.006843,"1,491,330","242,293,000"
"424","Sep 23, 2016",0.006848,0.0073,0.006807,0.007211,"3,104,540","242,812,000"
"423","Sep 24, 2016",0.007234,0.007424,0.00717,0.007362,"2,170,050","256,511,000"
"422","Sep 25, 2016",0.007356,0.007986,0.007316,0.007855,"4,699,860","260,832,000"
"421","Sep 26, 2016",0.007872,0.008593,0.007847,0.007963,"9,102,940","279,129,000"
"420","Sep 27, 2016",0.007959,0.008306,0.007919,0.008229,"6,131,430","282,218,000"
"419","Sep 28, 2016",0.00822,0.009082,0.00822,0.009048,"7,558,520","291,479,000"
"418","Sep 29, 2016",0.009065,0.00909,0.008707,0.008914,"5,974,090","321,424,000"
"417","Sep 30, 2016",0.00891,0.00924,0.008789,0.00883,"7,561,150","316,085,000"
"416","Oct 01, 2016",0.008839,0.008848,0.008186,0.008205,"5,895,530","313,570,000"
"415","Oct 02, 2016",0.008197,0.008316,0.008084,0.008165,"2,072,840","290,783,000"
"414","Oct 03, 2016",0.008165,0.008241,0.008065,0.008089,"2,776,300","289,639,000"
"413","Oct 04, 2016",0.008115,0.008132,0.007853,0.007853,"2,642,950","287,883,000"
"412","Oct 05, 2016",0.007873,0.007895,0.007407,0.007435,"4,840,340","279,308,000"
"411","Oct 06, 2016",0.007429,0.00746,0.007321,0.007382,"2,826,190","263,560,000"
"410","Oct 07, 2016",0.007377,0.007459,0.00735,0.007377,"3,042,600","261,722,000"
