"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.000532,0.000545,0.000521,0.000529,"80,032","9,705,290"
"436","Sep 11, 2016",0.00053,0.000535,0.00049,0.000502,"85,772","9,701,850"
"435","Sep 12, 2016",0.000494,0.000515,0.000489,0.000506,"81,358","9,062,790"
"434","Sep 13, 2016",0.000508,0.000512,0.000494,5e-04,"60,120","9,324,700"
"433","Sep 14, 2016",0.000505,0.000511,0.000496,0.000511,"96,419","9,285,790"
"432","Sep 15, 2016",0.000506,0.000517,0.000493,0.000498,"114,561","9,333,980"
"431","Sep 16, 2016",0.000503,0.000514,0.000493,0.000494,"98,948","9,291,610"
"430","Sep 17, 2016",0.000494,0.000507,0.000493,0.000497,"70,958","9,150,190"
"429","Sep 18, 2016",0.000494,0.000504,0.000493,5e-04,"55,632","9,156,870"
"428","Sep 19, 2016",0.000497,0.000503,0.00049,0.000493,"57,426","9,228,040"
"427","Sep 20, 2016",0.000493,0.000618,0.000483,0.000536,"539,596","9,181,940"
"426","Sep 21, 2016",0.000537,0.000554,0.000508,0.000519,"211,683","10,010,400"
"425","Sep 22, 2016",0.000519,0.000526,0.000493,0.000505,"98,408","9,698,540"
"424","Sep 23, 2016",0.000506,0.000506,0.00049,0.000498,"49,693","9,455,370"
"423","Sep 24, 2016",0.000498,0.000505,0.000492,0.000498,"35,135","9,339,600"
"422","Sep 25, 2016",0.000498,0.000503,0.000486,0.000487,"67,222","9,346,210"
"421","Sep 26, 2016",0.000492,0.000498,0.00048,0.000487,"43,298","9,250,080"
"420","Sep 27, 2016",0.000487,0.000489,0.000472,0.00048,"54,927","9,170,610"
"419","Sep 28, 2016",0.00048,0.000486,0.000469,0.000474,"62,486","9,067,460"
"418","Sep 29, 2016",0.000474,0.000492,0.000463,0.00047,"78,739","8,960,380"
"417","Sep 30, 2016",0.00047,0.000491,0.000465,0.000488,"57,720","8,910,620"
"416","Oct 01, 2016",0.000491,0.000491,0.000465,0.000469,"46,567","9,319,560"
"415","Oct 02, 2016",0.000473,0.000477,0.00046,0.00046,"41,746","8,986,560"
"414","Oct 03, 2016",0.000469,0.000486,0.000465,0.00047,"63,126","8,929,680"
"413","Oct 04, 2016",0.00047,0.000486,0.000445,0.000465,"113,366","8,976,650"
"412","Oct 05, 2016",0.000465,0.00047,0.000454,0.000457,"33,253","8,893,610"
"411","Oct 06, 2016",0.000456,0.000468,0.000446,0.000454,"32,938","8,743,280"
"410","Oct 07, 2016",0.000454,0.000462,0.000448,0.000452,"34,045","8,708,030"
"409","Oct 08, 2016",0.000453,0.000459,0.000445,0.000449,"24,878","8,698,490"
"408","Oct 09, 2016",0.000449,0.000456,0.000442,0.000452,"41,654","8,647,320"
"407","Oct 10, 2016",0.000452,0.000469,0.00044,0.000452,"56,252","8,717,780"
"406","Oct 11, 2016",0.000452,0.000463,0.000443,0.000454,"57,989","8,736,540"
"405","Oct 12, 2016",0.000454,0.000459,0.000421,0.000428,"83,810","8,784,480"
"404","Oct 13, 2016",0.000428,0.000461,0.00042,0.000428,"78,766","8,307,210"
"403","Oct 14, 2016",0.000428,0.000442,0.000421,0.000437,"32,723","8,319,880"
"402","Oct 15, 2016",0.000438,0.000441,0.000424,0.000429,"20,861","8,514,170"
"401","Oct 16, 2016",0.000429,0.000429,0.00041,0.000414,"36,332","8,358,280"
"400","Oct 17, 2016",0.000414,0.000424,0.000388,0.000405,"71,881","8,083,730"
"399","Oct 18, 2016",0.000395,0.000405,0.00039,0.000396,"29,762","7,729,390"
"398","Oct 19, 2016",0.000396,0.000453,0.000396,0.000437,"156,386","7,755,740"
"397","Oct 20, 2016",0.000452,0.00046,0.000431,0.000442,"131,645","8,867,500"
"396","Oct 21, 2016",0.000442,0.000463,0.00043,0.000451,"123,915","8,695,220"
"395","Oct 22, 2016",0.000451,0.000465,0.000422,0.000441,"184,700","8,890,580"
"394","Oct 23, 2016",0.000442,0.000446,0.000427,0.000435,"58,681","8,711,940"
"393","Oct 24, 2016",0.000436,0.000444,0.000425,0.000434,"68,522","8,607,960"
"392","Oct 25, 2016",0.000434,0.000474,0.000431,0.00045,"237,477","8,586,170"
"391","Oct 26, 2016",0.00045,0.000457,0.000414,0.000425,"139,959","8,929,030"
"390","Oct 27, 2016",0.000425,0.000429,0.000396,0.000413,"124,575","8,436,550"
"389","Oct 28, 2016",0.000409,0.000417,0.000375,0.00038,"88,005","8,131,960"
"388","Oct 29, 2016",0.000385,0.000395,0.000345,0.000353,"120,215","7,660,350"
"387","Oct 30, 2016",0.000353,0.000397,0.000351,0.00038,"86,241","7,040,270"
"386","Oct 31, 2016",0.00038,0.000416,0.000364,0.000377,"131,336","7,582,680"
"385","Nov 01, 2016",0.000376,0.000389,0.000351,0.000354,"108,358","7,525,080"
"384","Nov 02, 2016",0.000354,0.000379,0.000353,0.000368,"42,597","7,091,660"
"383","Nov 03, 2016",0.000369,0.000378,0.000347,0.000361,"54,079","7,382,520"
"382","Nov 04, 2016",0.000361,0.000378,0.000344,0.000353,"89,342","7,233,630"
