"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.652902,0.739087,0.639758,0.71776,"176,959","90,334,500"
"436","Sep 11, 2016",0.723441,0.737896,0.631454,0.641134,"108,111","100,827,000"
"435","Sep 12, 2016",0.644521,0.679461,0.625251,0.630221,"109,583","90,530,900"
"434","Sep 13, 2016",0.640697,0.653845,0.57521,0.590609,"142,889","90,577,700"
"433","Sep 14, 2016",0.588285,0.602592,0.569186,0.573209,"110,774","83,846,200"
"432","Sep 15, 2016",0.573152,0.577472,0.502674,0.509801,"147,506","82,266,700"
"431","Sep 16, 2016",0.504338,0.521154,0.479712,0.514227,"140,183","72,840,700"
"430","Sep 17, 2016",0.521263,0.590611,0.511579,0.528477,"193,887","75,765,000"
"429","Sep 18, 2016",0.528512,0.557185,0.52052,0.52353,"78,570","77,440,800"
"428","Sep 19, 2016",0.521045,0.521206,0.467856,0.478526,"107,048","76,868,800"
"427","Sep 20, 2016",0.478552,0.486127,0.429465,0.450762,"128,172","71,185,600"
"426","Sep 21, 2016",0.443245,0.443908,0.405142,0.418853,"90,397","66,371,800"
"425","Sep 22, 2016",0.418813,0.553863,0.41151,0.485323,"448,410","63,122,400"
"424","Sep 23, 2016",0.484641,0.523353,0.4642,0.484293,"201,413","73,542,000"
"423","Sep 24, 2016",0.485907,0.65374,0.464662,0.597275,"408,565","74,322,500"
"422","Sep 25, 2016",0.601947,0.655396,0.574521,0.604818,"242,210","92,681,100"
"421","Sep 26, 2016",0.607841,0.609972,0.540974,0.563659,"165,310","94,128,700"
"420","Sep 27, 2016",0.563743,0.588353,0.544239,0.546937,"97,828","87,802,200"
"419","Sep 28, 2016",0.546994,0.547066,0.489185,0.505285,"102,663","85,536,200"
"418","Sep 29, 2016",0.513122,0.520173,0.472438,0.514415,"107,442","80,544,300"
"417","Sep 30, 2016",0.50981,0.50981,0.475923,0.492349,"64,863","80,477,300"
"416","Oct 01, 2016",0.489641,0.49291,0.440961,0.445635,"84,298","77,728,900"
"415","Oct 02, 2016",0.445758,0.466725,0.428507,0.443965,"128,510","71,293,600"
"414","Oct 03, 2016",0.444061,0.484142,0.438,0.445752,"76,030","71,465,600"
"413","Oct 04, 2016",0.443091,0.449675,0.400883,0.40747,"152,421","71,752,900"
"412","Oct 05, 2016",0.408836,0.436667,0.400634,0.417342,"116,586","66,698,000"
"411","Oct 06, 2016",0.416132,0.423516,0.402997,0.405304,"47,109","68,290,600"
"410","Oct 07, 2016",0.404658,0.406218,0.375386,0.37705,"91,898","66,805,700"
"409","Oct 08, 2016",0.377281,0.415429,0.369418,0.383549,"173,141","62,652,300"
"408","Oct 09, 2016",0.38357,0.3862,0.342202,0.350211,"106,808","64,191,500"
"407","Oct 10, 2016",0.351061,0.354918,0.299013,0.303636,"203,280","59,080,400"
