"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.002003,0.002231,0.001996,0.002032,"173,430","11,322,900"
"436","Sep 11, 2016",0.002023,0.002081,0.001946,0.001966,"51,896","11,438,400"
"435","Sep 12, 2016",0.001926,0.001994,0.001896,0.00194,"25,451","10,889,700"
"434","Sep 13, 2016",0.001941,0.001993,0.001915,0.001951,"62,818","10,974,800"
"433","Sep 14, 2016",0.001946,0.001977,0.001911,0.001963,"13,081","11,002,900"
"432","Sep 15, 2016",0.001963,0.002565,0.0019,0.002319,"555,936","11,098,600"
"431","Sep 16, 2016",0.002304,0.002336,0.002078,0.002082,"204,787","13,022,700"
"430","Sep 17, 2016",0.002082,0.002198,0.00207,0.002162,"39,093","12,684,000"
"429","Sep 18, 2016",0.002162,0.002168,0.002082,0.00209,"57,508","13,172,200"
"428","Sep 19, 2016",0.002089,0.00217,0.002068,0.002127,"48,729","12,728,500"
"427","Sep 20, 2016",0.002127,0.002131,0.002,0.002052,"79,813","12,960,000"
"426","Sep 21, 2016",0.002055,0.002119,0.001998,0.002085,"53,003","12,522,600"
"425","Sep 22, 2016",0.002085,0.002169,0.002062,0.002138,"67,088","12,705,200"
"424","Sep 23, 2016",0.002138,0.002141,0.002033,0.002083,"47,176","13,024,200"
"423","Sep 24, 2016",0.002068,0.00232,0.002062,0.002219,"75,069","12,598,300"
"422","Sep 25, 2016",0.002213,0.002501,0.002167,0.002454,"366,417","13,479,500"
"421","Sep 26, 2016",0.002459,0.002651,0.002336,0.002385,"379,360","14,978,900"
"420","Sep 27, 2016",0.002384,0.002601,0.002341,0.002549,"136,361","14,527,200"
"419","Sep 28, 2016",0.002556,0.003376,0.002443,0.003149,"1,211,050","15,570,700"
"418","Sep 29, 2016",0.003136,0.003314,0.003032,0.003066,"484,615","19,105,200"
"417","Sep 30, 2016",0.003017,0.003054,0.002799,0.002847,"320,074","18,380,600"
"416","Oct 01, 2016",0.002839,0.002927,0.002706,0.002763,"187,694","17,298,900"
"415","Oct 02, 2016",0.002782,0.002995,0.002735,0.002867,"105,129","16,946,600"
"414","Oct 03, 2016",0.002872,0.002873,0.002708,0.00271,"83,760","17,495,000"
"413","Oct 04, 2016",0.002705,0.002758,0.002567,0.00259,"100,249","16,478,600"
"412","Oct 05, 2016",0.00259,0.002604,0.00242,0.002485,"119,902","15,780,400"
"411","Oct 06, 2016",0.002497,0.00253,0.002282,0.002306,"108,291","15,210,900"
"410","Oct 07, 2016",0.002306,0.002438,0.00227,0.002374,"72,283","14,046,100"
"409","Oct 08, 2016",0.002386,0.002388,0.002283,0.002317,"36,449","15,725,800"
"408","Oct 09, 2016",0.002317,0.002432,0.00224,0.002376,"167,282","15,267,300"
"407","Oct 10, 2016",0.00238,0.002559,0.002298,0.002466,"119,501","15,686,300"
"406","Oct 11, 2016",0.002467,0.003094,0.002361,0.002679,"429,422","16,899,400"
"405","Oct 12, 2016",0.002678,0.002742,0.002628,0.002637,"76,408","18,349,200"
"404","Oct 13, 2016",0.002637,0.002662,0.002482,0.002539,"52,851","18,069,600"
"403","Oct 14, 2016",0.002536,0.002537,0.002377,0.002479,"100,389","17,374,200"
"402","Oct 15, 2016",0.002479,0.002509,0.002412,0.002439,"14,235","16,983,100"
"401","Oct 16, 2016",0.002437,0.002496,0.0024,0.002418,"57,966","16,693,700"
"400","Oct 17, 2016",0.002419,0.002434,0.00227,0.002291,"58,355","16,574,200"
"399","Oct 18, 2016",0.00229,0.002419,0.002284,0.002388,"31,261","15,692,600"
"398","Oct 19, 2016",0.002388,0.002411,0.002257,0.002339,"61,624","16,359,100"
"397","Oct 20, 2016",0.002336,0.002708,0.002336,0.00267,"245,923","16,004,800"
"396","Oct 21, 2016",0.002668,0.002703,0.002399,0.002476,"184,807","18,278,200"
"395","Oct 22, 2016",0.00247,0.002521,0.002353,0.002407,"80,103","16,924,000"
"394","Oct 23, 2016",0.002409,0.002464,0.002376,0.002438,"23,756","16,504,400"
"393","Oct 24, 2016",0.002439,0.002504,0.002416,0.002471,"48,913","16,709,600"
"392","Oct 25, 2016",0.002471,0.002478,0.002334,0.002357,"68,368","16,928,200"
"391","Oct 26, 2016",0.002358,0.00238,0.002273,0.002338,"53,832","16,153,800"
"390","Oct 27, 2016",0.002337,0.002364,0.002097,0.002176,"159,436","16,014,900"
"389","Oct 28, 2016",0.002145,0.002222,0.002058,0.002095,"64,020","14,697,900"
"388","Oct 29, 2016",0.002095,0.002137,0.001882,0.001957,"201,667","14,351,700"
"387","Oct 30, 2016",0.001964,0.00214,0.001932,0.002127,"80,875","13,458,900"
"386","Oct 31, 2016",0.002119,0.002167,0.001986,0.002088,"88,239","14,517,100"
"385","Nov 01, 2016",0.002088,0.002088,0.001929,0.001976,"39,128","14,308,400"
"384","Nov 02, 2016",0.001977,0.002069,0.001952,0.002023,"43,064","13,544,800"
"383","Nov 03, 2016",0.002014,0.002072,0.001963,0.001994,"54,324","13,797,300"
"382","Nov 04, 2016",0.001991,0.002027,0.001959,0.001999,"18,107","13,640,700"
"381","Nov 05, 2016",0.002003,0.002032,0.00198,0.002021,"11,174","13,724,700"
"380","Nov 06, 2016",0.002021,0.002058,0.001867,0.001959,"58,461","13,845,800"
"379","Nov 07, 2016",0.001969,0.002029,0.001924,0.002013,"34,635","13,492,500"
"378","Nov 08, 2016",0.002013,0.002029,0.001965,0.001986,"30,553","13,792,800"
"377","Nov 09, 2016",0.001994,0.002014,0.001938,0.001968,"44,284","13,658,700"
"376","Nov 10, 2016",0.001968,0.002003,0.001928,0.001948,"36,825","13,486,300"
"375","Nov 11, 2016",0.001948,0.001992,0.001897,0.001913,"38,438","13,347,300"
"374","Nov 12, 2016",0.001913,0.001924,0.001876,0.001899,"24,842","13,105,300"
"373","Nov 13, 2016",0.001899,0.001931,0.001878,0.001896,"30,930","13,010,000"
"372","Nov 14, 2016",0.001895,0.001915,0.001867,0.00188,"32,401","12,986,100"
"371","Nov 15, 2016",0.001883,0.001884,0.001814,0.001853,"26,787","12,903,900"
"370","Nov 16, 2016",0.001852,0.001868,0.001756,0.001772,"43,749","12,687,400"
"369","Nov 17, 2016",0.001775,0.00186,0.001734,0.00182,"74,554","12,159,800"
"368","Nov 18, 2016",0.001812,0.001832,0.001757,0.001807,"21,364","12,414,400"
"367","Nov 19, 2016",0.001806,0.001829,0.001756,0.001796,"9,237","12,374,800"
"366","Nov 20, 2016",0.001797,0.001806,0.001753,0.00176,"17,977","12,308,700"
"365","Nov 21, 2016",0.00176,0.001798,0.001745,0.001755,"4,925","12,055,600"
"364","Nov 22, 2016",0.001755,0.001797,0.001712,0.001735,"32,403","12,022,900"
"363","Nov 23, 2016",0.001727,0.001753,0.001719,0.001733,"21,588","11,831,700"
"362","Nov 24, 2016",0.001733,0.001741,0.001687,0.001691,"35,768","11,873,200"
"361","Nov 25, 2016",0.001691,0.001729,0.001672,0.001722,"13,354","11,583,900"
"360","Nov 26, 2016",0.001717,0.001717,0.001605,0.001649,"31,598","11,766,800"
"359","Nov 27, 2016",0.001649,0.001688,0.001642,0.001665,"7,384","11,294,900"
"358","Nov 28, 2016",0.001665,0.001694,0.001653,0.001655,"13,301","11,405,800"
"357","Nov 29, 2016",0.001655,0.001691,0.001636,0.001667,"9,853","11,340,900"
"356","Nov 30, 2016",0.001666,0.001688,0.001613,0.001629,"15,505","11,417,200"
"355","Dec 01, 2016",0.001629,0.001672,0.001543,0.001619,"60,747","11,164,200"
"354","Dec 02, 2016",0.00162,0.001621,0.001487,0.001529,"29,715","11,102,000"
"353","Dec 03, 2016",0.001529,0.001606,0.001513,0.001592,"29,495","10,476,300"
"352","Dec 04, 2016",0.001592,0.001597,0.001532,0.001532,"8,556","10,904,800"
"351","Dec 05, 2016",0.001532,0.001557,0.001512,0.001542,"17,747","10,492,900"
"350","Dec 06, 2016",0.001542,0.002824,0.001458,0.002666,"856,036","10,563,300"
"349","Dec 07, 2016",0.002653,0.003141,0.001993,0.002767,"2,369,690","18,174,700"
"348","Dec 08, 2016",0.002749,0.00291,0.00231,0.002421,"1,531,460","18,831,300"
"347","Dec 09, 2016",0.002444,0.002615,0.002327,0.002545,"519,467","16,742,000"
"346","Dec 10, 2016",0.002587,0.002587,0.002199,0.002233,"481,548","17,721,400"
"345","Dec 11, 2016",0.002204,0.002418,0.002136,0.002353,"306,783","15,102,000"
"344","Dec 12, 2016",0.002353,0.002418,0.002214,0.002272,"230,324","16,124,600"
"343","Dec 13, 2016",0.002265,0.002301,0.002088,0.002158,"207,838","15,676,100"
"342","Dec 14, 2016",0.002163,0.002217,0.002104,0.00215,"83,790","14,973,400"
"341","Dec 15, 2016",0.002151,0.003013,0.0021,0.002802,"673,328","14,887,800"
"340","Dec 16, 2016",0.002821,0.003149,0.002752,0.003123,"1,241,390","19,528,800"
"339","Dec 17, 2016",0.003129,0.003139,0.002749,0.002772,"350,471","21,660,900"
"338","Dec 18, 2016",0.002772,0.002958,0.002759,0.0029,"142,791","19,186,100"
"337","Dec 19, 2016",0.002901,0.002937,0.002785,0.002868,"125,139","20,078,900"
"336","Dec 20, 2016",0.002867,0.00304,0.002835,0.002836,"130,279","19,847,400"
