"","Date","Open","High","Low","Close","Volume","Market.Cap"
"437","Sep 10, 2016",0.011305,0.012285,0.011128,0.011838,"44,167","5,472,170"
"436","Sep 11, 2016",0.011836,0.012186,0.011391,0.011658,"22,766","5,730,330"
"435","Sep 12, 2016",0.011747,0.012101,0.011164,0.011579,"42,895","5,687,670"
"434","Sep 13, 2016",0.011582,0.01267,0.011397,0.011986,"42,158","5,609,030"
"433","Sep 14, 2016",0.01199,0.012575,0.011637,0.011812,"53,388","5,807,070"
"432","Sep 15, 2016",0.011811,0.012168,0.01134,0.011607,"35,137","5,721,300"
"431","Sep 16, 2016",0.011523,0.011863,0.011465,0.011555,"14,997","5,582,880"
"430","Sep 17, 2016",0.011564,0.011659,0.011124,0.011215,"22,878","5,603,360"
"429","Sep 18, 2016",0.011211,0.0115,0.011152,0.011374,"18,466","5,433,390"
"428","Sep 19, 2016",0.011373,0.011442,0.010793,0.010793,"37,746","5,512,840"
"427","Sep 20, 2016",0.01071,0.011136,0.010523,0.010855,"21,865","5,192,320"
"426","Sep 21, 2016",0.010841,0.010841,0.010202,0.010712,"36,221","5,256,540"
"425","Sep 22, 2016",0.010713,0.010838,0.010453,0.010618,"13,336","5,195,320"
"424","Sep 23, 2016",0.010644,0.010751,0.010424,0.010475,"15,545","5,162,650"
"423","Sep 24, 2016",0.010474,0.010603,0.009789,0.009953,"21,312","5,080,930"
"422","Sep 25, 2016",0.009954,0.010596,0.009776,0.0104,"16,481","4,829,080"
"421","Sep 26, 2016",0.010399,0.010651,0.009627,0.009937,"24,760","5,045,990"
"420","Sep 27, 2016",0.009935,0.009951,0.009038,0.009519,"42,117","4,821,660"
"419","Sep 28, 2016",0.009524,0.009722,0.009278,0.009611,"19,061","4,622,590"
"418","Sep 29, 2016",0.009604,0.009863,0.009346,0.009346,"17,450","4,662,330"
"417","Sep 30, 2016",0.009348,0.009391,0.008773,0.009068,"37,189","4,538,600"
"416","Oct 01, 2016",0.008985,0.009049,0.008003,0.008613,"39,360","4,363,130"
"415","Oct 02, 2016",0.008614,0.008617,0.008004,0.008179,"33,952","4,183,600"
"414","Oct 03, 2016",0.008179,0.008533,0.008124,0.008249,"17,923","3,972,860"
"413","Oct 04, 2016",0.00825,0.009664,0.008113,0.008754,"51,974","4,008,060"
"412","Oct 05, 2016",0.008765,0.009652,0.008547,0.00942,"31,786","4,258,810"
"411","Oct 06, 2016",0.009141,0.009979,0.00902,0.009945,"18,371","4,442,520"
"410","Oct 07, 2016",0.009468,0.009591,0.008594,0.00919,"13,274","4,602,060"
"409","Oct 08, 2016",0.009218,0.009708,0.008864,0.008928,"23,474","4,481,380"
"408","Oct 09, 2016",0.009019,0.009021,0.008466,0.008466,"8,375","4,385,210"
"407","Oct 10, 2016",0.008471,0.008831,0.008166,0.0086,"19,222","4,119,300"
"406","Oct 11, 2016",0.008529,0.008912,0.008169,0.008522,"30,822","4,147,960"
"405","Oct 12, 2016",0.008515,0.008779,0.008166,0.008227,"17,055","4,141,700"
"404","Oct 13, 2016",0.008227,0.009503,0.008147,0.009331,"26,287","4,002,230"
"403","Oct 14, 2016",0.009332,0.009827,0.008596,0.009124,"55,150","4,540,770"
"402","Oct 15, 2016",0.009125,0.009477,0.008876,0.00931,"12,549","4,440,630"
"401","Oct 16, 2016",0.009313,0.009631,0.009012,0.009532,"15,903","4,532,760"
"400","Oct 17, 2016",0.009535,0.009964,0.009052,0.009225,"16,551","4,641,720"
"399","Oct 18, 2016",0.009225,0.009225,0.008505,0.008564,"20,943","4,491,190"
"398","Oct 19, 2016",0.008603,0.009205,0.008311,0.008454,"26,528","4,189,260"
"397","Oct 20, 2016",0.008477,0.008782,0.008354,0.008401,"19,757","4,128,280"
"396","Oct 21, 2016",0.008399,0.008727,0.008354,0.008655,"13,557","4,091,130"
"395","Oct 22, 2016",0.008654,0.00935,0.008499,0.009102,"16,117","4,215,950"
"394","Oct 23, 2016",0.009082,0.009601,0.008465,0.008473,"5,595","4,425,090"
"393","Oct 24, 2016",0.00852,0.012886,0.008291,0.008324,"14,611","4,151,830"
"392","Oct 25, 2016",0.00832,0.009095,0.007829,0.008911,"37,696","4,055,110"
"391","Oct 26, 2016",0.008746,0.009664,0.00851,0.008627,"34,668","4,263,180"
"390","Oct 27, 2016",0.008749,0.008864,0.00826,0.008302,"13,272","4,265,640"
"389","Oct 28, 2016",0.008306,0.0084,0.007728,0.007848,"18,484","4,049,900"
"388","Oct 29, 2016",0.007907,0.008747,0.007907,0.008071,"16,366","3,856,070"
"387","Oct 30, 2016",0.008108,0.008439,0.00781,0.008211,"7,911","3,954,740"
"386","Oct 31, 2016",0.008242,0.008837,0.007994,0.008318,"18,447","4,020,690"
"385","Nov 01, 2016",0.008319,0.008505,0.007964,0.008402,"20,248","4,058,800"
"384","Nov 02, 2016",0.008376,0.008477,0.007993,0.008332,"19,451","4,087,220"
"383","Nov 03, 2016",0.008318,0.008767,0.007712,0.008408,"20,624","4,059,450"
"382","Nov 04, 2016",0.008412,0.009379,0.007947,0.008734,"10,671","4,106,210"
"381","Nov 05, 2016",0.008623,0.009546,0.00837,0.009376,"11,400","4,209,610"
"380","Nov 06, 2016",0.009371,0.00949,0.008263,0.008416,"14,627","4,575,960"
"379","Nov 07, 2016",0.008414,0.008414,0.007488,0.007866,"17,075","4,108,930"
"378","Nov 08, 2016",0.007845,0.007946,0.007554,0.00776,"13,854","3,831,690"
"377","Nov 09, 2016",0.00776,0.008001,0.007475,0.007754,"12,895","3,790,650"
"376","Nov 10, 2016",0.007755,0.008156,0.00747,0.007793,"8,355","3,788,880"
"375","Nov 11, 2016",0.007793,0.008093,0.007492,0.00792,"11,136","3,808,310"
"374","Nov 12, 2016",0.00792,0.008293,0.007505,0.008105,"13,392","3,870,860"
"373","Nov 13, 2016",0.008051,0.00815,0.007676,0.00815,"6,323","3,935,460"
"372","Nov 14, 2016",0.008149,0.008739,0.007806,0.008628,"15,746","3,983,940"
"371","Nov 15, 2016",0.008633,0.01018,0.008633,0.009533,"60,273","4,221,080"
"370","Nov 16, 2016",0.009527,0.009556,0.00892,0.009369,"32,907","4,659,040"
"369","Nov 17, 2016",0.009462,0.009562,0.008877,0.008913,"14,707","4,627,890"
"368","Nov 18, 2016",0.008908,0.010062,0.008549,0.008772,"10,787","4,357,700"
"367","Nov 19, 2016",0.008769,0.009409,0.008532,0.00908,"19,342","4,290,430"
"366","Nov 20, 2016",0.009081,0.010111,0.008829,0.010111,"15,985","4,443,650"
"365","Nov 21, 2016",0.010112,0.010221,0.008838,0.009275,"20,507","4,948,700"
"364","Nov 22, 2016",0.009439,0.009943,0.009134,0.009943,"22,635","4,620,320"
"363","Nov 23, 2016",0.009942,0.009983,0.009453,0.009937,"24,715","4,867,100"
"362","Nov 24, 2016",0.009922,0.010306,0.009673,0.01018,"23,006","4,857,800"
"361","Nov 25, 2016",0.010177,0.010201,0.009126,0.009513,"19,619","4,983,820"
"360","Nov 26, 2016",0.009517,0.009683,0.009294,0.009651,"7,993","4,660,900"
"359","Nov 27, 2016",0.009647,0.009711,0.0091,0.009208,"7,298","4,725,600"
"358","Nov 28, 2016",0.009209,0.009638,0.008913,0.009282,"21,141","4,511,680"
"357","Nov 29, 2016",0.009303,0.009335,0.008929,0.009329,"11,643","4,558,380"
"356","Nov 30, 2016",0.009335,0.009349,0.008709,0.008876,"12,778","4,574,520"
"355","Dec 01, 2016",0.008865,0.008986,0.008437,0.008589,"17,775","4,344,970"
"354","Dec 02, 2016",0.008601,0.008944,0.007647,0.008098,"36,826","4,216,200"
"353","Dec 03, 2016",0.0081,0.008439,0.007649,0.008318,"9,595","3,971,400"
"352","Dec 04, 2016",0.008062,0.008408,0.007637,0.00786,"4,325","3,953,270"
"351","Dec 05, 2016",0.007865,0.008064,0.007587,0.007703,"5,755","3,857,290"
"350","Dec 06, 2016",0.007703,0.008083,0.007668,0.007806,"11,172","3,778,350"
"349","Dec 07, 2016",0.007814,0.008771,0.007725,0.008501,"20,448","3,833,540"
"348","Dec 08, 2016",0.008501,0.009758,0.008501,0.009427,"19,553","4,171,050"
"347","Dec 09, 2016",0.009425,0.010641,0.009232,0.010093,"31,564","4,625,210"
